timestamp,requests,errors,total_latency_ms,error_rate,requests_rolling_mean,errors_rolling_mean,latency_rolling_mean,error_rate_rolling_mean
2026-02-01T08:00:00,120,2,3600,0.016666666666666666,,,,
2026-02-01T08:05:00,135,3,4050,0.022222222222222223,,,,
2026-02-01T08:10:00,150,4,4800,0.02666666666666667,135.0,3.0,4150.0,0.021851851851851855
2026-02-01T08:15:00,165,5,5200,0.030303030303030304,150.0,4.0,4683.333333333333,0.026397306397306402
2026-02-01T08:20:00,180,7,6100,0.03888888888888889,165.0,5.333333333333333,5366.666666666667,0.031952861952861955
2026-02-01T08:25:00,170,6,5900,0.03529411764705882,171.66666666666666,6.0,5733.333333333333,0.034828678946326005
2026-02-01T08:30:00,160,4,5400,0.025,170.0,5.666666666666667,5800.0,0.03306100217864924
2026-02-01T08:35:00,155,3,5100,0.01935483870967742,161.66666666666666,4.333333333333333,5466.666666666667,0.02654965211891208
2026-02-01T08:40:00,145,2,4700,0.013793103448275862,153.33333333333334,3.0,5066.666666666667,0.019382647385984428
2026-02-01T08:45:00,140,2,4500,0.014285714285714285,146.66666666666666,2.3333333333333335,4766.666666666667,0.015811218814555855
2026-02-01T08:50:00,150,3,4800,0.02,145.0,2.3333333333333335,4666.666666666667,0.016026272577996718
2026-02-01T08:55:00,165,4,5200,0.024242424242424242,151.66666666666666,3.0,4833.333333333333,0.019509379509379508
2026-02-01T09:00:00,185,6,6000,0.032432432432432434,166.66666666666666,4.333333333333333,5333.333333333333,0.02555828555828556
2026-02-01T09:05:00,200,8,6700,0.04,183.33333333333334,6.0,5966.666666666667,0.032224952224952225
2026-02-01T09:10:00,210,9,7200,0.04285714285714286,198.33333333333334,7.666666666666667,6633.333333333333,0.03842985842985843
